Attribute,Metric,Subset_1,Subset_2,Subset_3,Subset_4,Subset_5,Subset_6,Subset_7,Subset_8,Subset_9,Subset_10,Subset_11,Subset_12,Subset_13,Subset_14,Subset_15,Subset_16,Subset_17,Subset_18,Subset_19,Subset_20,Subset_21,Subset_22,Subset_23,Subset_24,Subset_25,Subset_26,Subset_27,Subset_28,Subset_29,Subset_30,Mean,SD,Fair_Count
Ethnicity,TI,0.0071,0.0058,0.0017,0.0005,0.0012,0.0031,0.0052,0.0043,0.0037,0.0053,0.0053,0.0018,0.0008,0.0006,0.0026,0.0017,0.0031,0.001,0.0124,0.0013,0.0016,0.0011,0.0063,0.0055,0.0008,0.0024,0.0107,0.0011,0.0043,0.0014,0.0035,0.0029,30
Ethnicity,PP,0.0109,0.0028,0.0092,0.0143,0.0149,0.0046,0.0037,0.0124,0.0077,0.0057,0.0165,0.0072,0.0086,0.0094,0.0049,0.0128,0.0294,0.0253,0.0154,0.0085,0.0078,0.0161,0.0009,0.0018,0.002,0.0095,0.0244,0.0045,0.0051,0.0096,0.0102,0.007,30
Ethnicity,CAL,0.0466,0.0682,0.087,0.074,0.0917,0.1101,0.0559,0.0514,0.0902,0.0635,0.0651,0.0711,0.0845,0.0471,0.1097,0.0664,0.0964,0.0926,0.1138,0.1171,0.0763,0.0643,0.0884,0.0797,0.0961,0.0513,0.098,0.0501,0.104,0.0733,0.0795,0.021,2
Age Group,DI,0.2953,0.2945,0.2789,0.2862,0.2816,0.2886,0.3141,0.3054,0.2978,0.2818,0.2767,0.296,0.2843,0.2929,0.2987,0.307,0.2689,0.2894,0.2921,0.2896,0.2684,0.3071,0.3207,0.2744,0.2847,0.3189,0.2778,0.2864,0.2967,0.2935,0.2916,0.0134,0
Age Group,SPD,0.4312,0.4257,0.4458,0.4327,0.4454,0.4428,0.4271,0.4238,0.4268,0.4332,0.452,0.4257,0.4405,0.4362,0.4389,0.4269,0.4392,0.4356,0.4349,0.4301,0.4474,0.4219,0.424,0.453,0.4452,0.4227,0.4543,0.4468,0.4319,0.4395,0.436,0.0097,0
Age Group,EOPP,0.1557,0.1865,0.198,0.1817,0.2296,0.1992,0.1429,0.1576,0.194,0.205,0.2195,0.2084,0.1906,0.1936,0.1591,0.2061,0.2288,0.1985,0.166,0.1951,0.2074,0.1434,0.1693,0.1898,0.1859,0.183,0.2087,0.1827,0.1507,0.1327,0.1857,0.0254,0
Age Group,EOD,0.1557,0.1865,0.198,0.1817,0.2296,0.1992,0.1429,0.1576,0.194,0.205,0.2195,0.2084,0.1906,0.1936,0.1591,0.2061,0.2288,0.1985,0.166,0.1951,0.2074,0.1434,0.1693,0.1898,0.1859,0.183,0.2087,0.1827,0.1507,0.1479,0.1862,0.0245,0
Age Group,TI,0.0184,0.0182,0.0133,0.0179,0.0122,0.0161,0.0168,0.0179,0.0127,0.022,0.0094,0.0119,0.0154,0.015,0.0182,0.0151,0.0123,0.0119,0.0171,0.0138,0.0148,0.0177,0.0191,0.0173,0.0172,0.0205,0.0193,0.0148,0.0188,0.0194,0.0161,0.003,30
Age Group,PP,0.0638,0.0728,0.0927,0.0821,0.0837,0.0928,0.0885,0.0594,0.0711,0.0976,0.0671,0.0489,0.0519,0.0993,0.025,0.0859,0.0702,0.0591,0.0778,0.1351,0.0562,0.065,0.0297,0.0503,0.0416,0.1169,0.0966,0.0397,0.0624,0.0387,0.0707,0.0255,28
Age Group,CAL,0.2702,0.2308,0.2049,0.1679,0.1896,0.2416,0.2707,0.145,0.1158,0.3138,0.2648,0.187,0.1193,0.1533,0.1876,0.3514,0.1821,0.2915,0.2176,0.1978,0.1429,0.2316,0.2801,0.2465,0.2537,0.3417,0.1473,0.134,0.2538,0.3504,0.2228,0.0682,0
