Model,A_SR,A_TPR,A_PPV,Accuracy,AUC,Acc_Drop_pp,DI_RACE,Race_Fair,DI_AGE,Age_Fair,DI_SEX,Sex_Fair,DI_ETH,Eth_Fair,EOPP_RACE,EOPP_AGE,EOPP_SEX,EOPP_ETH,EOD_RACE,EOD_AGE,EOD_SEX,EOD_ETH,SPD_RACE,SPD_AGE,SPD_SEX,SPD_ETH,Total_Fair
Standard,0.0,0.0,0.0,0.8776009858074001,0.9527087450567469,0.0,0.651643609221318,4,0.29088367231681644,2,0.7612648534660794,5,0.8302202897277289,7,0.052772896494517885,0.183986206672197,0.03595741321754087,0.018896035008931444,0.052772896494517885,0.183986206672197,0.04875927675427351,0.029225097046877258,0.17644181253938596,0.4361322989540718,0.12397142186966964,0.07848419425002934,18
Standard,0.0,0.0,0.4,0.8771740187865489,0.9527087450567469,0.042696702085121,0.6271858110547693,4,0.2675389122987475,2,0.7576854175749781,5,0.8255474773642766,7,0.06383539133477212,0.22469998969837945,0.03839942879181446,0.022609876888205815,0.06383539133477212,0.22469998969837945,0.0505786556551672,0.030364023455943814,0.19285379723469664,0.45656876623775355,0.12595515779892597,0.08061703078749499,18
Standard,0.0,0.0,0.8,0.8766659820781945,0.9527087450567469,0.09350037292056301,0.5950354562538768,4,0.24277852745974074,2,0.7527779368968219,5,0.8179007796555405,7,0.08083154908879342,0.2699147278835954,0.04219305031515608,0.02779734375095566,0.08083154908879342,0.2699147278835954,0.052610048723848696,0.032852664324180714,0.2131567183113418,0.47840146332306543,0.12866273730509376,0.08412899403641627,18
Standard,0.0,0.4,0.0,0.8764930334115205,0.9527087450567469,0.11079523958795745,0.6850358182589779,3,0.3444482954278949,1,0.7867089654498528,5,0.844190718800289,7,0.03723784306308575,0.10774078230868356,0.019924036685401214,0.011492927505223127,0.03723784306308575,0.10774078230868356,0.035285482104839005,0.02374405753773985,0.15950152789777855,0.39092669376927497,0.10924041726506883,0.07209797548904995,16
Standard,0.0,0.4,0.4,0.8776442229740685,0.9527087450567469,-0.004323716666843058,0.6412429564114018,4,0.31467103445289285,2,0.779479752294186,5,0.8386356987097158,7,0.06499117437778379,0.1464912933232847,0.02326485137893608,0.015675567090964626,0.06499117437778379,0.1464912933232847,0.03938863717761461,0.024693477918664483,0.1854427410665644,0.4145095836920728,0.11315747254537062,0.07453274295038315,18
Standard,0.0,0.4,0.8,0.8775793672240658,0.9527087450567469,0.0021618583334270802,0.6136633618655815,4,0.2883808407427368,2,0.773938707073236,5,0.8320748014872723,7,0.0770804362812948,0.18925596635526865,0.027531477385570935,0.018591381656911876,0.0770804362812948,0.18925596635526865,0.04139259428878382,0.027773068151966743,0.2033684336658534,0.43627151286873556,0.11617071055168282,0.07750566839179351,18
Standard,0.0,0.8,0.0,0.8726557348696939,0.9527087450567469,0.4945250937706147,0.7207750059837299,3,0.4103196810348537,3,0.8143346517133172,7,0.8631151493670673,7,0.011858691470341909,0.036747594029397646,0.007650281526428215,0.005354273958437794,0.033641065403360496,0.07123312292686473,0.018331641908091917,0.01416354504692835,0.14092055416675364,0.3402293607065199,0.09392034861527271,0.06348265208732856,20
Standard,0.0,0.8,0.4,0.8757796201614908,0.9527087450567469,0.18213656459092897,0.6643673415261976,3,0.3723907570701622,3,0.8054936823919179,7,0.8534254608760677,7,0.04404269606944422,0.07425677060459668,0.009314876783404369,0.008975710248590008,0.04404269606944422,0.0767880736418598,0.02447054929072677,0.018311550476052166,0.1731273852936625,0.3676858659990654,0.09851015584575096,0.06781276201966013,20
Standard,0.0,0.8,0.8,0.8769632375990402,0.9527087450567469,0.0637748208359934,0.6182389363995424,4,0.34050836508136606,1,0.7988692992454586,5,0.8456373530742398,7,0.08705933984560255,0.11317029301785064,0.0120752841043541,0.012451316763179232,0.08705933984560255,0.11317029301785064,0.028304540534994177,0.021645859564102796,0.20120708533184173,0.39216995125086607,0.10202226074852705,0.07134240054638674,17
Standard,0.0,1.0,0.0,0.8687751991611989,0.9527087450567469,0.882578664620115,0.7492451398890355,3,0.45804669266405335,3,0.8351812227405565,7,0.8765565549526708,7,0.0039273036053354415,0.0009411280942293043,0.00031826433901427365,0.0004534892965799564,0.04207636072390171,0.07609626355486573,0.0054613610670559976,0.008139538413735367,0.12644385005984,0.30718980852451966,0.0827288095721947,0.057435491792854565,20
Standard,0.0,1.0,0.4,0.8729205625155384,0.9527087450567469,0.46804232918616906,0.7041961361437991,3,0.4081557313772928,3,0.819432472821726,7,0.8642960890855159,7,0.03233011794061902,0.04197586893018923,0.00420506156275402,0.005132579579973817,0.037799069561364654,0.06456739279392452,0.01558684645532979,0.013185028238004576,0.1522123591139503,0.3408583478254881,0.09092377199387036,0.06285517649381794,20
Standard,0.0,1.0,0.8,0.8756607179531525,0.9527087450567469,0.19402678542476126,0.6302923377797457,3,0.37053314119695463,3,0.8116182306419519,7,0.8541485995742811,7,0.08924188995187088,0.08067521837912583,0.005508411859939666,0.008579827429904263,0.08924188995187088,0.08067521837912583,0.02112799877453196,0.017988286221017558,0.19442335502969205,0.36834544758204135,0.09495576136035194,0.06744129153304274,20
Standard,0.3,0.0,0.0,0.8744716958697697,0.9527087450567469,0.31292899376303973,0.7043619063442944,3,0.36952785229650226,3,0.7917911364977431,5,0.8511622870555654,7,0.039174417815194484,0.08895395340304535,0.017988958501662933,0.009271458001372745,0.039174417815194484,0.08895395340304535,0.027605930621791314,0.017456292812339555,0.14501724372965208,0.3600119373332139,0.10368864614099249,0.06708287833182458,18
Standard,0.3,0.0,0.4,0.8757904294531579,0.9527087450567469,0.18105563542422098,0.6600430465271518,3,0.3383008870105821,1,0.7850229661706456,5,0.8439400140422786,7,0.05589556074992963,0.12872003725498493,0.020721447618734956,0.013489315397936297,0.05589556074992963,0.12872003725498493,0.031650417536715936,0.019703252045760178,0.1707197152904752,0.3837350786293818,0.10733485552696076,0.0703159703610714,16
Standard,0.3,0.0,0.8,0.8766876006615286,0.9527087450567469,0.09133851458714703,0.6297267660857814,4,0.30875213256686,2,0.779575427441388,5,0.8352428569131908,7,0.07153882469658912,0.1754187093405586,0.02310567497065752,0.01811936137491532,0.07153882469658912,0.1754187093405586,0.03473845194964739,0.022952455164815408,0.18994068874983078,0.4071307658316543,0.11023015336180897,0.07424078124981714,18
Standard,0.3,0.4,0.0,0.8681698788278404,0.9527087450567469,0.9431106979559734,0.7318415919427553,3,0.4474517676895931,3,0.8240120972525884,7,0.87253237587357,7,0.015652641632592612,0.04216839511064341,0.006135282329388536,0.00020126277915855084,0.026909788650495814,0.04519671750336114,0.007483488639210986,0.009114145715593422,0.1307157906379816,0.30423324626353454,0.0864027383347018,0.05761811371023945,20
