Model,K,DI_RACE,V_DI_RACE,SPD_RACE,V_SPD_RACE,EOPP_RACE,V_EOPP_RACE,EOD_RACE,V_EOD_RACE,TI_RACE,V_TI_RACE,PP_RACE,V_PP_RACE,CAL_RACE,V_CAL_RACE,DI_SEX,V_DI_SEX,SPD_SEX,V_SPD_SEX,EOPP_SEX,V_EOPP_SEX,EOD_SEX,V_EOD_SEX,TI_SEX,V_TI_SEX,PP_SEX,V_PP_SEX,CAL_SEX,V_CAL_SEX,DI_ETHNICITY,V_DI_ETHNICITY,SPD_ETHNICITY,V_SPD_ETHNICITY,EOPP_ETHNICITY,V_EOPP_ETHNICITY,EOD_ETHNICITY,V_EOD_ETHNICITY,TI_ETHNICITY,V_TI_ETHNICITY,PP_ETHNICITY,V_PP_ETHNICITY,CAL_ETHNICITY,V_CAL_ETHNICITY,DI_AGE_GROUP,V_DI_AGE_GROUP,SPD_AGE_GROUP,V_SPD_AGE_GROUP,EOPP_AGE_GROUP,V_EOPP_AGE_GROUP,EOD_AGE_GROUP,V_EOD_AGE_GROUP,TI_AGE_GROUP,V_TI_AGE_GROUP,PP_AGE_GROUP,V_PP_AGE_GROUP,CAL_AGE_GROUP,V_CAL_AGE_GROUP
Logistic Regression,1,0.6245946620104764,0,0.18980158062888852,0,0.1871657754010695,0,0.1871657754010695,0,0.013713127737555467,1,0.21603475513428116,0,0.45513361234572924,0,0.6968408784198258,0,0.16851132024004362,0,0.08209517918623044,1,0.1284269495168175,0,0.008647700497108321,1,0.02101264369408873,1,0.12360998009114288,0,0.7731661316713089,0,0.10906197453759309,0,0.05655898205051557,1,0.06660977574744886,1,0.004079040733824549,1,0.001379250097857887,1,0.09259058277140292,0,0.19501931741008074,0,0.518974047938319,0,0.4105804240736774,0,0.4105804240736774,0,0.02411787128814686,1,0.0796400596427943,1,0.21595060602265273,0
Logistic Regression,2,0.43068455452356375,0,0.27829157558432827,0,0.1346051934287229,0,0.17381489841986456,0,0.009572862663803833,1,0.20945256715402927,0,0.4500587090889847,0,0.6648997590382444,0,0.18594201076417943,0,0.10679339749891403,0,0.12243794835334117,0,0.009337892806117257,1,0.013241127976058586,1,0.12845418280614052,0,0.7452551650814632,0,0.11938881243212052,0,0.06375800351110972,1,0.07638283034520973,1,0.0016683766957663326,1,0.02087618264088853,1,0.10003955821049962,0,0.19687149280922303,0,0.5055339852955079,0,0.3504477749629219,0,0.3504477749629219,0,0.016188350244986015,1,0.06476651763537011,1,0.16679056122703861,0
Logistic Regression,3,0.4958634043302235,0,0.24079367748444594,0,0.22352941176470587,0,0.22352941176470587,0,0.021945025316202647,1,0.1376811594202899,0,0.5280794426905149,0,0.6934616459757869,0,0.16553734261394099,0,0.0769702140526125,1,0.12149869548818976,0,0.013610510044691673,1,0.020599967748232473,1,0.1041151029157858,0,0.7867071609204672,0,0.0985525880813839,1,0.04391795311606639,1,0.06744001613771858,1,0.005024964354131911,1,0.018136781127097823,1,0.0968172686566105,0,0.17443825235059116,0,0.5240058287435292,0,0.4567193920988945,0,0.4567193920988945,0,0.024305091928866512,1,0.09440518052740676,1,0.2447785341691564,0
Logistic Regression,4,0.40613088962776733,0,0.30784429123928037,0,0.3197691197691198,0,0.3197691197691198,0,0.008550920033569137,1,0.09268940692492289,1,0.5305491674353474,0,0.6795622581711616,0,0.1781290676354625,0,0.11139981273408239,0,0.11407612932065328,0,0.01330510723714888,1,0.005388597789734995,1,0.11420767061528986,0,0.7794766360004685,0,0.10366405676535356,0,0.06516409428489323,1,0.06516409428489323,1,0.0007897769525126302,1,0.001216313876454489,1,0.0922637929304777,0,0.19725740377853043,0,0.507121819768653,0,0.4214229199259139,0,0.4214229199259139,0,0.026836735288247468,1,0.07592084702596646,1,0.1846607728993442,0
Logistic Regression,5,0.6439225098577062,0,0.17462586177904826,0,0.23057644110275688,0,0.23057644110275688,0,0.048707022526799176,1,0.1880952380952381,0,0.6433781156146893,0,0.6700547535411744,0,0.1829487061685276,0,0.10108403975416358,0,0.12895694094775803,0,0.014151297485764963,1,0.016677235941514712,1,0.10147581123891228,0,0.7771355512345843,0,0.1042824737642396,0,0.05684575789077362,1,0.07661681957538279,1,0.0017717421249717202,1,0.030000369224319257,1,0.10599167968427214,0,0.2131697985373533,0,0.49280321101189367,0,0.37181037120341354,0,0.37181037120341354,0,0.02478218896820368,1,0.11788200387994974,0,0.16931072365899813,0
Logistic Regression,6,0.5148026315789473,0,0.24802421388935597,0,0.033143107989464404,1,0.15384615384615385,0,0.020554357089064196,1,0.12551546391752577,0,0.3473980636478138,0,0.6845676557747433,0,0.17130574171298257,0,0.08560428660850916,1,0.1238976674191121,0,0.013802463875757356,1,0.02009456264775411,1,0.09058276971971833,0,0.747635161619065,0,0.11773571104753272,0,0.07754720069846122,1,0.07967632635640684,1,0.001001391973121657,1,0.028067875337129178,1,0.0987811245475052,0,0.2038581077695795,0,0.49410613844567,0,0.39988769764959975,0,0.39988769764959975,0,0.016091616411420803,1,0.11951873576446015,0,0.22405749977114733,0
Logistic Regression,7,0.6255829447035309,0,0.1890028585841601,0,0.1728395061728395,0,0.1728395061728395,0,0.014011493977787712,1,0.0711013010334326,1,0.35116876175119555,0,0.6535373021341289,0,0.1923835157580252,0,0.10538519158554571,0,0.1472832109111883,0,0.011783314612906715,1,0.035862582111070074,1,0.11280630048990259,0,0.7586796057360929,0,0.11180134743913,0,0.07256766712681628,1,0.08005871725383922,1,0.002483152235995406,1,0.03388872886801231,1,0.1138779307992408,0,0.1762094195520332,0,0.519675528825733,0,0.4340550863327005,0,0.4340550863327005,0,0.018351609619248227,1,0.047724469212126475,1,0.14795249116015433,0
Logistic Regression,8,0.5339930052034462,0,0.229653606860602,0,0.2318376068376068,0,0.2318376068376068,0,0.025080586690477316,1,0.05890709726474175,1,0.6782463202718939,0,0.6869185060393423,0,0.1695645285398668,0,0.11267220530620836,0,0.11267220530620836,0,0.016370885672692195,1,0.003693344807802701,1,0.15612674175179883,0,0.7398612084460839,0,0.12183076599593656,0,0.08208329305013184,1,0.08208329305013184,1,0.0019407144801302928,1,0.02402801822288536,1,0.1278711145351646,0,0.20673784070995757,0,0.49643693955569645,0,0.3835904483942534,0,0.3835904483942534,0,0.02148529552813372,1,0.06156266102568275,1,0.15811026158434194,0
Logistic Regression,9,0.6063932838230546,0,0.20497729947872878,0,0.07792207792207795,1,0.12592605414387592,0,0.020842858929397044,1,0.20657276995305163,0,0.45093701997181385,0,0.6698700791211537,0,0.18531723028703967,0,0.08003712195913026,1,0.14882837877644567,0,0.008179619509609208,1,0.03569377990430622,1,0.125423632669986,0,0.7459533448388155,0,0.12144703692236658,0,0.07182358670412414,1,0.07444435663595127,1,0.0010661588091648022,1,0.010804365593937493,1,0.10692373907448524,0,0.2197634314092886,0,0.5043711592425076,0,0.38808407881016405,0,0.38808407881016405,0,0.0204930239256371,1,0.07735252298928996,1,0.22224949923827317,0
Logistic Regression,10,0.6620027658016758,0,0.17466789978140235,0,0.3224177384991715,0,0.3224177384991715,0,0.10293051557317826,0,0.12840328141719182,0,0.8423019938860938,0,0.6713400407595469,0,0.1797220134449689,0,0.08010273413368874,1,0.12935177226254074,0,0.011404824536783847,1,0.019117678506511582,1,0.10266666578569131,0,0.7485158757037339,0,0.11709588755643974,0,0.06634427682657873,1,0.07438834336591983,1,0.003681317115017152,1,0.018086421052501134,1,0.09226995760867357,0,0.1832677137157263,0,0.5158710820165092,0,0.4151175621763857,0,0.4151175621763857,0,0.019193467466478514,1,0.07179477805026213,1,0.15500317749908538,0
