Fold,Acc,AUC,Train_Hospitals,Val_Hospitals,DI_RACE,SPD_RACE,EOPP_RACE,EOD_RACE,TI_RACE,PP_RACE,CAL_RACE,DI_SEX,SPD_SEX,EOPP_SEX,EOD_SEX,TI_SEX,PP_SEX,CAL_SEX,DI_ETHNICITY,SPD_ETHNICITY,EOPP_ETHNICITY,EOD_ETHNICITY,TI_ETHNICITY,PP_ETHNICITY,CAL_ETHNICITY,DI_AGE_GROUP,SPD_AGE_GROUP,EOPP_AGE_GROUP,EOD_AGE_GROUP,TI_AGE_GROUP,PP_AGE_GROUP,CAL_AGE_GROUP
1,0.8630624885151276,0.9418623512813779,351,88,0.6376694241981806,0.18275315342674553,0.05721018847411974,0.05721018847411974,0.003381510491573099,0.08163008218518542,0.10967073919166873,0.7523322341565496,0.12987291315749944,0.04365193882405749,0.05929150802715501,0.0038675676805653147,0.0023044086456324164,0.03397874532845052,0.8245799393407635,0.08147412606538318,0.0266477169816558,0.03240767634090133,0.0019072891519474819,0.0035270382217360563,0.019736487250613277,0.27017227224561313,0.45482604787357184,0.23295470359345827,0.23295470359345827,0.013223075381362706,0.07916566925902657,0.07944516250263411
2,0.8603169284316798,0.9399481885165728,351,88,0.6349642457663727,0.18570943794028022,0.06514844378922047,0.06514844378922047,0.0073473709482634805,0.07899774546232785,0.09850173448934785,0.761746212303224,0.12397427500935948,0.03919089757336902,0.05313028317675089,0.003297567246515365,0.008555052125349571,0.035427258646901216,0.8279994002409101,0.07975280876051166,0.03165791866783896,0.03165791866783896,3.344662403528126e-05,0.01231070839223336,0.019676598568400927,0.2889380159306544,0.43868313001634685,0.21097870094756843,0.21097870094756843,0.01261151376787896,0.08987450121151408,0.07103705268700411
3,0.8621436987234227,0.9409447695106913,351,88,0.7469007773515733,0.12659878651103246,0.07979399241535157,0.07979399241535157,0.011744946664584505,0.18240919519342158,0.23603633466984997,0.7615983495396963,0.12366121600520019,0.04080220103672283,0.05032412356772353,0.0029990910637138005,0.01003991041807828,0.03399163914750836,0.8383572339116716,0.07448450343695906,0.02549693290785926,0.02549693290785926,0.0007730734074676907,0.016515518515869076,0.0247927214960717,0.29101453540664457,0.4369638873257429,0.21440561275665948,0.21440561275665948,0.010735100392594371,0.11304149083223025,0.07619107826408555
4,0.8631273442651303,0.9418049767410963,351,88,0.6502564228082401,0.17676690620468632,0.0526043535752273,0.0526043535752273,0.005195169329313604,0.09151563738954827,0.11585370863407701,0.7540019759142365,0.1291822261981626,0.04423910765046901,0.057334412092639106,0.0028605068227453567,0.004715058429420438,0.051765689799454895,0.823625209416027,0.08216041643368127,0.025739910398286825,0.03419629517747154,0.002183004907934258,0.0015541953160757016,0.02123665625610871,0.2743110410546009,0.4544800088965888,0.23272200263504605,0.23272200263504605,0.012122038515973627,0.09292359181552934,0.06534873341661518
5,0.8632570557651357,0.9421735942163543,352,87,0.6611338323810086,0.16701167062608635,0.07798350516797126,0.07798350516797126,0.007582114450626953,0.1150886613198,0.10896923910831613,0.7496666500618266,0.1290386460058885,0.0429911071345529,0.05855174417768373,0.0037195474644404897,0.0009284145626585749,0.033600444289523246,0.8227173786760016,0.08082040664428947,0.028172014025025005,0.030346193818109365,0.0015928480104508702,0.003523778289502677,0.029218272518549915,0.2655081616024021,0.45067384645902453,0.23717059664456341,0.23717059664456341,0.01244711574304136,0.054562398574894644,0.05757163894364514
