Protected Attribute,Standard,XGBoost,AFCE-XGB,AFCE-LGBM,Fair (Ours)
Race,0.049,0.04,0.055,0.075,0.079
Sex,0.035,0.034,0.017,0.018,0.002
Ethnicity,0.019,0.018,0.018,0.017,0.026
Age Group,0.183,0.185,0.187,0.183,0.192
