,DI,SPD,EOPP,EOD,TI,PP,CAL
DI,0.0,0.041666666666666664,0.5,0.4791666666666667,0.8125,0.7708333333333334,0.3541666666666667
SPD,0.041666666666666664,0.0,0.4583333333333333,0.4375,0.7708333333333334,0.7291666666666666,0.3958333333333333
EOPP,0.5,0.4583333333333333,0.0,0.020833333333333332,0.3125,0.3125,0.5208333333333334
EOD,0.4791666666666667,0.4375,0.020833333333333332,0.0,0.3333333333333333,0.3333333333333333,0.5
TI,0.8125,0.7708333333333334,0.3125,0.3333333333333333,0.0,0.041666666666666664,0.5416666666666666
PP,0.7708333333333334,0.7291666666666666,0.3125,0.3333333333333333,0.041666666666666664,0.0,0.5
CAL,0.3541666666666667,0.3958333333333333,0.5208333333333334,0.5,0.5416666666666666,0.5,0.0
