Model,Attribute,Metric,VFR_sym,VFR_dir
Gradient Boosting,AGE_GROUP,DI,0.0,0.0
Gradient Boosting,AGE_GROUP,SPD,0.0,0.0
Gradient Boosting,AGE_GROUP,EOPP,0.0,0.0
Gradient Boosting,AGE_GROUP,EOD,0.0,0.0
Gradient Boosting,AGE_GROUP,TI,0.0,0.0
Gradient Boosting,AGE_GROUP,PP,0.114,-0.11399999999999999
Gradient Boosting,AGE_GROUP,CAL,0.05,-0.050000000000000044
AdaBoost,RACE,DI,0.026,0.026
AdaBoost,RACE,SPD,0.028,0.028
AdaBoost,RACE,EOPP,0.254,0.254
AdaBoost,RACE,EOD,0.164,0.164
AdaBoost,RACE,TI,0.0,0.0
AdaBoost,RACE,PP,0.238,0.238
AdaBoost,RACE,CAL,0.0,0.0
AdaBoost,SEX,DI,0.0,0.0
AdaBoost,SEX,SPD,0.0,0.0
AdaBoost,SEX,EOPP,0.046,-0.04600000000000004
AdaBoost,SEX,EOD,0.008,0.008
AdaBoost,SEX,TI,0.0,0.0
AdaBoost,SEX,PP,0.0,0.0
AdaBoost,SEX,CAL,0.0,0.0
AdaBoost,ETHNICITY,DI,0.122,0.122
AdaBoost,ETHNICITY,SPD,0.246,0.246
AdaBoost,ETHNICITY,EOPP,0.01,-0.010000000000000009
AdaBoost,ETHNICITY,EOD,0.01,-0.010000000000000009
AdaBoost,ETHNICITY,TI,0.0,0.0
AdaBoost,ETHNICITY,PP,0.0,0.0
AdaBoost,ETHNICITY,CAL,0.0,0.0
AdaBoost,AGE_GROUP,DI,0.0,0.0
AdaBoost,AGE_GROUP,SPD,0.0,0.0
AdaBoost,AGE_GROUP,EOPP,0.0,0.0
AdaBoost,AGE_GROUP,EOD,0.0,0.0
AdaBoost,AGE_GROUP,TI,0.0,0.0
AdaBoost,AGE_GROUP,PP,0.414,-0.41400000000000003
AdaBoost,AGE_GROUP,CAL,0.0,0.0
XGBoost,RACE,DI,0.026,0.026
XGBoost,RACE,SPD,0.032,0.032
XGBoost,RACE,EOPP,0.464,-0.46399999999999997
XGBoost,RACE,EOD,0.436,0.436
XGBoost,RACE,TI,0.0,0.0
XGBoost,RACE,PP,0.47,0.47
XGBoost,RACE,CAL,0.07,-0.06999999999999995
XGBoost,SEX,DI,0.018,0.018
XGBoost,SEX,SPD,0.018,0.018
XGBoost,SEX,EOPP,0.0,0.0
XGBoost,SEX,EOD,0.0,0.0
XGBoost,SEX,TI,0.0,0.0
XGBoost,SEX,PP,0.0,0.0
XGBoost,SEX,CAL,0.0,0.0
XGBoost,ETHNICITY,DI,0.088,-0.08799999999999997
XGBoost,ETHNICITY,SPD,0.02,-0.020000000000000018
XGBoost,ETHNICITY,EOPP,0.0,0.0
XGBoost,ETHNICITY,EOD,0.0,0.0
XGBoost,ETHNICITY,TI,0.0,0.0
XGBoost,ETHNICITY,PP,0.0,0.0
XGBoost,ETHNICITY,CAL,0.0,0.0
XGBoost,AGE_GROUP,DI,0.0,0.0
XGBoost,AGE_GROUP,SPD,0.0,0.0
XGBoost,AGE_GROUP,EOPP,0.0,0.0
XGBoost,AGE_GROUP,EOD,0.0,0.0
XGBoost,AGE_GROUP,TI,0.0,0.0
XGBoost,AGE_GROUP,PP,0.22,-0.21999999999999997
XGBoost,AGE_GROUP,CAL,0.076,-0.07599999999999996
LightGBM,RACE,DI,0.008,0.008
LightGBM,RACE,SPD,0.018,0.018
LightGBM,RACE,EOPP,0.344,0.344
LightGBM,RACE,EOD,0.26,0.26
LightGBM,RACE,TI,0.0,0.0
LightGBM,RACE,PP,0.466,0.466
LightGBM,RACE,CAL,0.126,-0.126
LightGBM,SEX,DI,0.006,0.006
LightGBM,SEX,SPD,0.006,0.006
LightGBM,SEX,EOPP,0.0,0.0
LightGBM,SEX,EOD,0.0,0.0
LightGBM,SEX,TI,0.0,0.0
LightGBM,SEX,PP,0.0,0.0
LightGBM,SEX,CAL,0.0,0.0
LightGBM,ETHNICITY,DI,0.19,-0.18999999999999995
LightGBM,ETHNICITY,SPD,0.046,-0.04600000000000004
LightGBM,ETHNICITY,EOPP,0.0,0.0
LightGBM,ETHNICITY,EOD,0.0,0.0
LightGBM,ETHNICITY,TI,0.0,0.0
LightGBM,ETHNICITY,PP,0.0,0.0
LightGBM,ETHNICITY,CAL,0.002,-0.0020000000000000018
LightGBM,AGE_GROUP,DI,0.0,0.0
LightGBM,AGE_GROUP,SPD,0.0,0.0
LightGBM,AGE_GROUP,EOPP,0.0,0.0
LightGBM,AGE_GROUP,EOD,0.0,0.0
LightGBM,AGE_GROUP,TI,0.0,0.0
LightGBM,AGE_GROUP,PP,0.138,-0.138
LightGBM,AGE_GROUP,CAL,0.216,-0.21599999999999997
CatBoost,RACE,DI,0.006,0.006
CatBoost,RACE,SPD,0.01,0.01
CatBoost,RACE,EOPP,0.29,0.29
CatBoost,RACE,EOD,0.23,0.23
CatBoost,RACE,TI,0.0,0.0
CatBoost,RACE,PP,0.432,0.432
CatBoost,RACE,CAL,0.146,-0.14600000000000002
CatBoost,SEX,DI,0.0,0.0
CatBoost,SEX,SPD,0.0,0.0
CatBoost,SEX,EOPP,0.0,0.0
CatBoost,SEX,EOD,0.016,-0.016000000000000014
CatBoost,SEX,TI,0.0,0.0
CatBoost,SEX,PP,0.0,0.0
CatBoost,SEX,CAL,0.0,0.0
CatBoost,ETHNICITY,DI,0.4,-0.4
CatBoost,ETHNICITY,SPD,0.13,-0.13
CatBoost,ETHNICITY,EOPP,0.0,0.0
CatBoost,ETHNICITY,EOD,0.0,0.0
CatBoost,ETHNICITY,TI,0.0,0.0
CatBoost,ETHNICITY,PP,0.0,0.0
CatBoost,ETHNICITY,CAL,0.0,0.0
CatBoost,AGE_GROUP,DI,0.0,0.0
CatBoost,AGE_GROUP,SPD,0.0,0.0
CatBoost,AGE_GROUP,EOPP,0.0,0.0
CatBoost,AGE_GROUP,EOD,0.0,0.0
CatBoost,AGE_GROUP,TI,0.0,0.0
CatBoost,AGE_GROUP,PP,0.116,-0.11599999999999999
CatBoost,AGE_GROUP,CAL,0.094,-0.09399999999999997
HistGradientBoosting,RACE,DI,0.006,0.006
HistGradientBoosting,RACE,SPD,0.012,0.012
HistGradientBoosting,RACE,EOPP,0.354,0.354
HistGradientBoosting,RACE,EOD,0.27,0.27
HistGradientBoosting,RACE,TI,0.0,0.0
HistGradientBoosting,RACE,PP,0.42,0.42
HistGradientBoosting,RACE,CAL,0.118,-0.118
HistGradientBoosting,SEX,DI,0.0,0.0
HistGradientBoosting,SEX,SPD,0.0,0.0
HistGradientBoosting,SEX,EOPP,0.0,0.0
HistGradientBoosting,SEX,EOD,0.0,0.0
HistGradientBoosting,SEX,TI,0.0,0.0
HistGradientBoosting,SEX,PP,0.0,0.0
HistGradientBoosting,SEX,CAL,0.0,0.0
HistGradientBoosting,ETHNICITY,DI,0.214,-0.21399999999999997
HistGradientBoosting,ETHNICITY,SPD,0.056,-0.05600000000000005
HistGradientBoosting,ETHNICITY,EOPP,0.0,0.0
HistGradientBoosting,ETHNICITY,EOD,0.0,0.0
HistGradientBoosting,ETHNICITY,TI,0.0,0.0
HistGradientBoosting,ETHNICITY,PP,0.0,0.0
HistGradientBoosting,ETHNICITY,CAL,0.0,0.0
HistGradientBoosting,AGE_GROUP,DI,0.0,0.0
HistGradientBoosting,AGE_GROUP,SPD,0.0,0.0
HistGradientBoosting,AGE_GROUP,EOPP,0.0,0.0
HistGradientBoosting,AGE_GROUP,EOD,0.0,0.0
HistGradientBoosting,AGE_GROUP,TI,0.0,0.0
HistGradientBoosting,AGE_GROUP,PP,0.144,-0.14400000000000002
HistGradientBoosting,AGE_GROUP,CAL,0.12,-0.12
Bagging,RACE,DI,0.036,0.036
Bagging,RACE,SPD,0.024,0.024
Bagging,RACE,EOPP,0.474,0.474
Bagging,RACE,EOD,0.318,0.318
Bagging,RACE,TI,0.0,0.0
Bagging,RACE,PP,0.344,0.344
Bagging,RACE,CAL,0.06,-0.06000000000000005
Bagging,SEX,DI,0.02,0.02
Bagging,SEX,SPD,0.004,0.004
Bagging,SEX,EOPP,0.0,0.0
Bagging,SEX,EOD,0.0,0.0
Bagging,SEX,TI,0.0,0.0
Bagging,SEX,PP,0.0,0.0
Bagging,SEX,CAL,0.0,0.0
Bagging,ETHNICITY,DI,0.09,-0.08999999999999997
Bagging,ETHNICITY,SPD,0.044,-0.04400000000000004
Bagging,ETHNICITY,EOPP,0.0,0.0
Bagging,ETHNICITY,EOD,0.0,0.0
Bagging,ETHNICITY,TI,0.0,0.0
Bagging,ETHNICITY,PP,0.0,0.0
Bagging,ETHNICITY,CAL,0.0,0.0
Bagging,AGE_GROUP,DI,0.0,0.0
Bagging,AGE_GROUP,SPD,0.0,0.0
Bagging,AGE_GROUP,EOPP,0.0,0.0
Bagging,AGE_GROUP,EOD,0.0,0.0
Bagging,AGE_GROUP,TI,0.0,0.0
Bagging,AGE_GROUP,PP,0.426,0.426
Bagging,AGE_GROUP,CAL,0.094,-0.09399999999999997
Extra Trees,RACE,DI,0.01,0.01
Extra Trees,RACE,SPD,0.01,0.01
Extra Trees,RACE,EOPP,0.194,0.194
Extra Trees,RACE,EOD,0.096,0.096
Extra Trees,RACE,TI,0.0,0.0
Extra Trees,RACE,PP,0.316,0.316
Extra Trees,RACE,CAL,0.066,0.066
Extra Trees,SEX,DI,0.0,0.0
Extra Trees,SEX,SPD,0.0,0.0
Extra Trees,SEX,EOPP,0.002,-0.0020000000000000018
Extra Trees,SEX,EOD,0.462,0.462
Extra Trees,SEX,TI,0.0,0.0
Extra Trees,SEX,PP,0.0,0.0
Extra Trees,SEX,CAL,0.418,-0.41800000000000004
Extra Trees,ETHNICITY,DI,0.07,0.07
Extra Trees,ETHNICITY,SPD,0.142,0.142
Extra Trees,ETHNICITY,EOPP,0.022,-0.02200000000000002
Extra Trees,ETHNICITY,EOD,0.022,-0.02200000000000002
Extra Trees,ETHNICITY,TI,0.0,0.0
Extra Trees,ETHNICITY,PP,0.0,0.0
Extra Trees,ETHNICITY,CAL,0.296,-0.29600000000000004
Extra Trees,AGE_GROUP,DI,0.0,0.0
Extra Trees,AGE_GROUP,SPD,0.0,0.0
Extra Trees,AGE_GROUP,EOPP,0.0,0.0
Extra Trees,AGE_GROUP,EOD,0.0,0.0
Extra Trees,AGE_GROUP,TI,0.0,0.0
Extra Trees,AGE_GROUP,PP,0.282,-0.28200000000000003
Extra Trees,AGE_GROUP,CAL,0.004,0.004
Stacking Ensemble,RACE,DI,0.014,0.014
Stacking Ensemble,RACE,SPD,0.02,0.02
Stacking Ensemble,RACE,EOPP,0.366,0.366
Stacking Ensemble,RACE,EOD,0.262,0.262
Stacking Ensemble,RACE,TI,0.0,0.0
Stacking Ensemble,RACE,PP,0.344,0.344
Stacking Ensemble,RACE,CAL,0.208,0.208
Stacking Ensemble,SEX,DI,0.0,0.0
Stacking Ensemble,SEX,SPD,0.0,0.0
Stacking Ensemble,SEX,EOPP,0.0,0.0
Stacking Ensemble,SEX,EOD,0.0,0.0
Stacking Ensemble,SEX,TI,0.0,0.0
Stacking Ensemble,SEX,PP,0.0,0.0
Stacking Ensemble,SEX,CAL,0.354,-0.354
Stacking Ensemble,ETHNICITY,DI,0.162,-0.16200000000000003
Stacking Ensemble,ETHNICITY,SPD,0.052,-0.052000000000000046
Stacking Ensemble,ETHNICITY,EOPP,0.0,0.0
Stacking Ensemble,ETHNICITY,EOD,0.0,0.0
Stacking Ensemble,ETHNICITY,TI,0.0,0.0
Stacking Ensemble,ETHNICITY,PP,0.0,0.0
Stacking Ensemble,ETHNICITY,CAL,0.454,-0.45399999999999996
Stacking Ensemble,AGE_GROUP,DI,0.0,0.0
Stacking Ensemble,AGE_GROUP,SPD,0.0,0.0
Stacking Ensemble,AGE_GROUP,EOPP,0.0,0.0
Stacking Ensemble,AGE_GROUP,EOD,0.0,0.0
Stacking Ensemble,AGE_GROUP,TI,0.0,0.0
Stacking Ensemble,AGE_GROUP,PP,0.204,-0.20399999999999996
Stacking Ensemble,AGE_GROUP,CAL,0.104,0.104
