Metric,RACE,SEX,ETHNICITY,AGE_GROUP
DI,185026,5000,5000,10000
SPD,185026,25000,100000,5000
EOPP,185026,185026,185026,100000
EOD,185026,100000,185026,50000
TI,185026,185026,185026,185026
PP,185026,185026,185026,185026
CAL,185026,185026,185026,185026
