metric,attribute,fold,metric_value,verdict
DI,SEX,9,0.922777,Pass
DI,SEX,10,0.938759,Pass
DI,SEX,11,0.801101,Pass
DI,SEX,12,0.930741,Pass
DI,SEX,13,0.865952,Pass
DI,SEX,14,0.838922,Pass
DI,SEX,15,0.978224,Pass
DI,SEX,16,0.90834,Pass
DI,SEX,17,0.934153,Pass
DI,SEX,18,0.832792,Pass
DI,SEX,19,0.915607,Pass
SPD,SEX,0,0.093797,Pass
SPD,SEX,1,0.043602,Pass
SPD,SEX,2,0.09293,Pass
SPD,SEX,3,0.107245,Fail
SPD,SEX,4,0.092446,Pass
SPD,SEX,5,0.125257,Fail
SPD,SEX,6,0.086637,Pass
SPD,SEX,7,0.083417,Pass
SPD,SEX,8,0.071493,Pass
SPD,SEX,9,0.043616,Pass
SPD,SEX,10,0.033196,Pass
SPD,SEX,11,0.116327,Fail
SPD,SEX,12,0.042593,Pass
SPD,SEX,13,0.089489,Pass
SPD,SEX,14,0.08958,Pass
SPD,SEX,15,0.010508,Pass
SPD,SEX,16,0.052151,Pass
SPD,SEX,17,0.040003,Pass
SPD,SEX,18,0.093523,Pass
SPD,SEX,19,0.049225,Pass
EOPP,SEX,0,0.029137,Pass
EOPP,SEX,1,0.001721,Pass
EOPP,SEX,2,0.018736,Pass
EOPP,SEX,3,0.004151,Pass
EOPP,SEX,4,0.00599,Pass
EOPP,SEX,5,0.00987,Pass
EOPP,SEX,6,0.003023,Pass
EOPP,SEX,7,0.012182,Pass
EOPP,SEX,8,0.014666,Pass
EOPP,SEX,9,0.012089,Pass
EOPP,SEX,10,0.01483,Pass
EOPP,SEX,11,0.003711,Pass
EOPP,SEX,12,0.00152,Pass
EOPP,SEX,13,0.001678,Pass
EOPP,SEX,14,0.007274,Pass
EOPP,SEX,15,0.001532,Pass
EOPP,SEX,16,0.020613,Pass
EOPP,SEX,17,0.00847,Pass
EOPP,SEX,18,0.01152,Pass
EOPP,SEX,19,8.8e-05,Pass
EOD,SEX,0,0.029137,Pass
EOD,SEX,1,0.014352,Pass
EOD,SEX,2,0.05527,Pass
EOD,SEX,3,0.03273,Pass
EOD,SEX,4,0.012432,Pass
EOD,SEX,5,0.044953,Pass
EOD,SEX,6,0.003023,Pass
EOD,SEX,7,0.019787,Pass
EOD,SEX,8,0.014666,Pass
EOD,SEX,9,0.019294,Pass
EOD,SEX,10,0.03093,Pass
EOD,SEX,11,0.040469,Pass
EOD,SEX,12,0.029598,Pass
EOD,SEX,13,0.047977,Pass
EOD,SEX,14,0.012404,Pass
EOD,SEX,15,0.02594,Pass
