k,DI_race,DI_age,pass_DI_race,pass_DI_age
0,0.7983668341708543,0.6817683986119037,0,0
1,0.859240563520719,0.6883478155315254,1,0
2,0.7883550202215579,0.7191872435714393,0,0
3,0.6352492420043687,0.6915154415499388,0,0
4,0.7932258329230264,0.6656937684776272,0,0
5,0.7752788933511826,0.7021384561434488,0,0
6,0.7929140445964133,0.6816877576525577,0,0
7,0.7504960317460317,0.6471741549450623,0,0
8,0.6578629032258064,0.7091972137251249,0,0
9,0.6786747905559788,0.68043922838626,0,0
10,0.6830409356725146,0.6964170874163998,0,0
11,0.6923336078460732,0.7092523965990313,0,0
12,0.7225771324863883,0.6855925281425742,0,0
13,0.6920475421700162,0.6881542967169878,0,0
14,0.7014815252036359,0.6916982840589537,0,0
15,0.6795979899497487,0.696472142945281,0,0
16,0.8334259479770315,0.6931817760269845,1,0
17,0.8238866396761134,0.6940738054635274,1,0
18,0.6937813144709696,0.6984123979620205,0,0
19,0.8135089327887528,0.7168683294823128,1,0
20,0.8126770373810077,0.6884343723535898,1,0
21,0.7956350938454824,0.6665432941580345,0,0
22,0.7930120234302745,0.6957449709671473,0,0
23,0.8506163426102428,0.6795088727711786,1,0
24,0.735412701996581,0.6663408108664335,0,0
25,0.7569623971797884,0.6562654135063085,0,0
26,0.7847560975609755,0.6791138228218067,0,0
27,0.6730769230769231,0.7220835720731076,0,0
28,0.880764929883946,0.6878402737593199,1,0
29,0.7608241266049566,0.6906261837868553,0,0
30,0.802017654476671,0.6931435382024751,1,0
31,0.8551152388594491,0.695584775256115,1,0
32,0.7704293240668086,0.7004727693877725,0,0
33,0.8295846080731873,0.7141670991177997,1,0
34,0.7555500740009867,0.689343956342657,0,0
35,0.7807125307125308,0.6916640896875831,0,0
36,0.762684811827957,0.687756997400111,0,0
37,0.7709542448373599,0.7254503106989343,0,0
38,0.8067446108878334,0.6878721273072937,1,0
39,0.7774872912127815,0.7082704966883788,0,0
40,0.7915432865284809,0.7164395734397145,0,0
41,0.8171500630517023,0.7134406741775029,1,0
42,0.8448132894501006,0.7268573725463924,1,0
43,0.8157095939490445,0.7091287468262327,1,0
44,0.8502673796791445,0.681683172156002,1,0
45,0.787441163885323,0.700618084700496,0,0
46,0.7099200752233193,0.6985500330770316,0,0
47,0.6445958646616541,0.6971141305874469,0,0
48,0.831081081081081,0.7025492432515511,1,0
49,0.8548639137750049,0.6730378130742514,1,0
50,0.8327835686326251,0.6894410893616111,1,0
51,0.8028649432526093,0.7151092270948219,1,0
52,0.8279621368730279,0.6940442667310298,1,0
53,0.7642857142857142,0.7027237674823974,0,0
54,0.8712604217753801,0.6389000119135868,1,0
55,0.6481481481481481,0.6690548924723916,0,0
56,0.7477610109189056,0.6673265103930268,0,0
57,0.7439510251676221,0.6901944929983314,0,0
58,0.7893162140598682,0.6979551599231699,0,0
59,0.7207524985302762,0.7147444265040167,0,0
60,0.7787654320987655,0.7054222050740503,0,0
61,0.7726693688477128,0.7091134080794785,0,0
62,0.8653095442508422,0.7117243149671,1,0
63,0.8278482192802534,0.731691479490759,1,0
64,0.8333469613962405,0.701991807748748,1,0
65,0.7381687242798354,0.6915349143610012,0,0
66,0.8452667802916954,0.6557857163112403,1,0
67,0.7253144654088051,0.6736455217466049,0,0
68,0.610575324243432,0.6906528478569037,0,0
69,0.7699443413729128,0.6959925093262775,0,0
70,0.7636723910171731,0.7013935985497343,0,0
71,0.7104105416032022,0.7027996545641086,0,0
72,0.8024841272594804,0.7231231805192306,1,0
73,0.7499409681227863,0.7133153061357788,0,0
74,0.8174387669281338,0.6799060409191181,1,0
75,0.8217038206888173,0.6827942251461989,1,0
76,0.747235044456148,0.6886287461212117,0,0
77,0.8462458591073871,0.6524049758176967,1,0
78,0.8073678290213723,0.6876689691332162,1,0
79,0.8479387735254247,0.6730022690682882,1,0
80,0.8094799173230546,0.6774251031595229,1,0
81,0.8223126748987301,0.6858174094730889,1,0
82,0.8069948186528497,0.7197338779220953,1,0
83,0.6744934216844329,0.723998176493984,0,0
84,0.7557371349095966,0.6942435910104154,0,0
85,0.6982216142270863,0.7068579975468336,0,0
86,0.7980246913580247,0.6767950686809402,0,0
87,0.8418193636251085,0.684020048810645,1,0
88,0.801425875445586,0.680403453772262,1,0
89,0.8005859602374885,0.7113599388761913,1,0
90,0.8106666666666666,0.69683348664359,1,0
91,0.7438486648870118,0.6712333394590818,0,0
92,0.674960254372019,0.7248969939420458,0,0
93,0.7672375279225615,0.7022076378291923,0,0
94,0.7755492534253596,0.6680613546320658,0,0
95,0.8465361713114622,0.6971639631354103,1,0
96,0.8138807429130009,0.6928819899083848,1,0
97,0.7854885108498776,0.7142709201245409,0,0
98,0.7806776350386897,0.6874422391042515,0,0
99,0.7405808477237048,0.7148057407155264,0,0
100,0.8291290633134695,0.6804679233452209,1,0
101,0.8562267437257541,0.7246410810501922,1,0
102,0.6392885607617769,0.6824144177990601,0,0
103,0.827580058483703,0.6791417797124925,1,0
104,0.7810286418232214,0.6828161000140244,0,0
105,0.770884520884521,0.6828960372659646,0,0
106,0.8754091966788302,0.6847425522344328,1,0
107,0.44616040396091544,0.6826508544101372,0,0
108,0.7016093474426809,0.6833416040715744,0,0
109,0.7128546540567446,0.6654912136491541,0,0
110,0.7004745047827069,0.6962907076155641,0,0
111,0.8521767456352796,0.7088897055820981,1,0
112,0.7587976539589443,0.6576178583499045,0,0
113,0.8312649965169379,0.7071270310371884,1,0
114,0.7141359688529499,0.6935791759123993,0,0
115,0.749480548540741,0.6827582522196965,0,0
116,0.8400944425864771,0.7287504869390483,1,0
117,0.8225634349858085,0.6408645546426119,1,0
118,0.6533027198869658,0.6868945834653999,0,0
119,0.8433533192891481,0.7007672689322396,1,0
120,0.832258064516129,0.6888577189587975,1,0
121,0.6069026031003217,0.7107411401793717,0,0
122,0.7476806640625,0.6791768752648253,0,0
123,0.80409558501893,0.6993868784856732,1,0
124,0.6383401829510804,0.6981984949708899,0,0
125,0.7337662337662337,0.6900113465380726,0,0
