Metric,RACE,SEX,ETHNICITY,AGE_GROUP
DI,1.6,2.4,7.0,0.0
SPD,2.0,2.0,1.4,0.0
EOPP,48.0,0.0,0.0,0.0
EOD,38.6,0.0,0.0,0.0
TI,0.0,0.0,0.0,0.0
PP,45.8,0.0,0.0,20.2
CAL,4.8,0.0,0.2,8.0
