Model,AUROC,Acc_before,Acc_after,Acc_cost,DI_Race_before,DI_Race_after,DI_Sex_before,DI_Sex_after,DI_Eth_before,DI_Eth_after,DI_Age_before,DI_Age_after,Verdict_before,Verdict_after,Passes_all_four_after
XGBoost,0.9532,0.8776,0.8352,0.04239999999999999,0.6395,0.801,0.7635,0.932,0.8278,1.0,0.2969,0.8,1/4 PASS,4/4 PASS,True
LightGBM,0.9397,0.8597,0.8058,0.0539,0.5999,0.8459,0.7456,0.8647,0.8199,0.959,0.2556,0.8003,1/4 PASS,4/4 PASS,True
Random Forest,0.9263,0.8437,0.7907,0.0529,0.581,0.8511,0.7302,0.8467,0.7982,0.9436,0.2184,0.8075,0/4 PASS,4/4 PASS,True
Logistic Regression,0.8639,0.7821,0.7289,0.0532,0.6685,0.8016,0.6834,0.8037,0.7502,0.9402,0.1552,0.8065,0/4 PASS,4/4 PASS,True
